Ryan Ashley Humphrey, 24/07/1979, Tulsa, OK, 00/00/0000
Gary W. Gregor, 13/08/1945, Charleston, WV, 00/00/0000
Garrett Bartholomew Temple, 08/05/1986, Baton Rouge, LA, 00/00/0000
Trajan Shaka Langdon, 13/05/1976, Palo Alto, CA, 00/00/0000
James Ager Worthy, 27/02/1961, Gastonia, NC, 00/00/0000
Steven Sherburne Hawes, 26/05/1950, Seattle, WA, 00/00/0000
George A. Kaftan, 22/02/1928, New York, NY, 00/00/0000
John Rashall Salmons, 12/12/1979, Philadelphia, PA, 00/00/0000
Samuel David Young, 01/06/1985, Washington, DC, 00/00/0000
Arron Agustin Afflalo, 15/10/1985, Los Angeles, CA, 00/00/0000
Costic F. Borsavage, 25/07/1924, (ht) Plymouth, PA, 00/00/0000
Kevin Dwayne Henderson, 22/03/1964, Baltimore, MD, 00/00/0000
Ronald Barry Martin, 11/04/1939, Hamburg, NY, 00/00/0000
James Edward Hickson, 04/09/1988, Atlanta, GA, 00/00/0000
Norman Allen Van Lier, 01/04/1947, East Liverpool, OH, 26/02/2009
Torraye Braggs, 15/05/1976, Fresno, CA, 00/00/0000
Otto Ole Schnellbacher, 15/04/1923, Sublette, KS, 10/03/2008
Brent Steven Scott, 15/06/1971, Jackson, MI, 00/00/0000
William E. Dinwiddie, 15/07/1943, Muncie, IN, 00/00/0000
Thomas Washington, 21/04/1944, Philadelphia, PA, 20/11/2004
Bernard Price, 20/09/1915, Toledo, OH, 24/01/2002
Darren Morningstar, 22/04/1969, Stevenson, WA, 00/00/0000
Michael Thomas Barrett, 05/09/1943, Montgomery, WV, 09/08/2011
Ronald Harper, 20/01/1964, Dayton, OH, 00/00/0000
Kevin Michael Loughery, 28/03/1940, Brooklyn, NY, 00/00/0000
Joseph Franklin Ellis, 03/05/1944, Oakland, CA, 00/00/0000
Kenneth Robert Sears, 17/08/1933, Watsonville, CA, 00/00/0000
Nicholas Vanos, 13/04/1963, San Mateo, CA, 16/08/1987
John F Dee, 12/09/1923, Cedar Rapids, IA, 00/00/0000
James J. Kissane, 17/08/1946, New Hyde Park, NY, 00/00/0000
Kevin Wayne Durant, 29/09/1988, Washington, DC, 00/00/0000
John Abramovic, 09/02/1919, Etna, PA, 09/06/2000
Roger William Brown, 22/05/1942, Brooklyn, NY, 04/03/1997
Walter Roger Brown, 23/02/1950, Chicago, IL, 00/00/0000
Alan Lybrooks Henderson, 02/12/1972, Indianapolis, IN, 00/00/0000
Larry Donell Nance, 12/02/1959, Anderson, SC, 00/00/0000
Melvin Ely, 02/05/1978, Harvey, IL, 00/00/0000
Leroy Patrick Chollet, 05/03/1924, New Orleans, LA, 10/06/1998
Richard Franklin Herrscher, 03/11/1936, St. Louis, MO, 00/00/0000
Elton Wayne McGriff, 21/08/1942, Corsicana, TX, 00/00/0000
Luther D. Head, 26/11/1982, Chicago, IL, 00/00/0000
Cartier Alexander Martin, 20/11/1984, Crockett, TX, 00/00/0000
Michael Thomas Gminski, 03/08/1959, Monroe, CT, 00/00/0000
Edward Burton, 13/08/1939, Blytheville, AR, 00/00/0000
Alec Christopher Kessler, 13/01/1967, Minneapolis, MN, 13/10/2007
Larry Fogle, 19/03/1953, Brooklyn, NY, 00/00/0000
James Frederick Saunders, 13/06/1951, Columbus, OH, 00/00/0000
Otto Everett Graham, 06/12/1921, Waukegan, IL, 17/12/2003
Lucas Cameron Harangody, 02/01/1988, Decatur, IL, 00/00/0000
Larry Clifford Bergh, 02/04/1945, (ht) Walla Walla, WA, 00/00/0000
Terry Porter, 08/04/1963, Milwaukee, WI, 00/00/0000
Damon Jones, 25/08/1976, Galveston, TX, 00/00/0000
Dahntay Lavall Jones, 27/12/1980, Trenton, NJ, 00/00/0000
Howard Dallmar, 24/05/1922, San Francisco, CA, 19/12/1991
Steven D. Hunter, 31/10/1981, Chicago, IL, 00/00/0000
Alvin A. Attles, 07/11/1936, Newark, NJ, 00/00/0000
Ernest Henry Andres, 11/01/1918, Jeffersonville, IN, 19/09/2008
John Eddie Long, 28/08/1956, Romulus, MI, 00/00/0000
Kirk Haston, 10/03/1979, Loblesville, TN, 00/00/0000
Edmund Lawrence, 08/12/1952, Lake Charles, LA, 00/00/0000
David John Kennedy, 05/11/1989, Pittsburgh, PA, 00/00/0000
Nazr Tahiru Mohammed, 05/09/1977, Chicago, IL, 00/00/0000
Milton Wagner, 20/02/1963, Camden, NJ, 00/00/0000
Thales Alford McReynolds, 08/06/1943, Birmingham, AL, 30/06/1988
Larry Michael Spriggs, 08/09/1959, Cheverly, MD, 00/00/0000
Eric Bledsoe, 09/12/1989, Birmingham, AL, 00/00/0000
Isaiah Wilson, 31/05/1948, Philadelphia, PA, 00/00/0000
Bernard King, 04/12/1956, Brooklyn, NY, 00/00/0000
William G. Schaeffer, 11/12/1951, Bellerose, NY, 00/00/0000
Harold James Crisler, 31/12/1923, Richmond, CA, 02/11/1987
Gregory Lewis Stokes, 05/08/1963, New Haven, CT, 00/00/0000
Malcolm Malik Mackey, 11/07/1970, Chattanooga, TN, 00/00/0000
Rex Edward Barney, 19/12/1924, Omaha, NE, 12/08/1997
Lionel Chalmers, 10/11/1980, Albany, NY, 00/00/0000
Maurice Franklin McHartley, 01/08/1942, Detroit, MI, 00/00/0000
Mark Craig Bryant, 25/04/1965, Glen Ridge, CA, 00/00/0000
Nikita Franciscus Wilson, 25/02/1964, Pineville, LA, 00/00/0000
Thomas Ray Williams, 14/10/1954, Mount Vernon, NY, 00/00/0000
Frank Schade, 22/01/1950, Wausau, WI, 00/00/0000
Warren J. Ajax, 12/05/1921, Minneapolis, MN, 19/12/2004
Frank Conrad Baumholtz, 07/10/1918, Midvale, OH, 14/12/1997
Floyd Ebaugh, 30/05/1914, Superior, NE, 00/00/0000
Donald Edgar Williams, 02/08/1956, Demopolis, AL, 00/00/0000
Corperryale L'Adorable Harris, 21/09/1989, Detroit, MI, 00/00/0000
Shaquille Rashaun O'Neal, 06/03/1972, Newark, NJ, 00/00/0000
John Richard Clawson, 15/05/1944, Duluth, MN, 00/00/0000
Jack Fitzpatrick, 14/07/1935, Somerset, KY, 00/00/0000
Bernard J. Mehen, 19/09/1918, Wheeling, WV, 11/05/2007
Willie Otis Howard, 05/11/1956, Oak Ridge, TN, 00/00/0000
Reginald Carter, 10/10/1957, New York, NY, 24/12/1999
Dennis Layton, 24/12/1948, Newark, NJ, 00/00/0000
Roy Lane Marble, 13/12/1966, Flint, MI, 00/00/0000
Loy Stephen Vaught, 27/02/1968, Grand Rapids, MI, 00/00/0000
Talvin Skinner, 10/09/1952, Berlin, MD, 00/00/0000
Kyle Donovan Weaver, 18/02/1986, Janesville, WI, 00/00/0000
Gerald R. Nagel, 18/05/1928, Chicago, IL, 02/02/1999
